layout_name,chunk_key,bias_kms,statistical_err_kms,intrinsic_scatter_kms,ivw_weight,updated_at
whole_order,3,0.12324192,0.02061984,0.14065404,49.483548199168936,2026-07-23T07:41:15.614061+00:00
whole_order,4,-1.25283478,0.0189474,0.44145932,5.121761291094476,2026-07-23T07:41:15.614061+00:00
whole_order,5,0.01351721,0.06289823,3.11811751,0.10281071125865503,2026-07-23T07:41:15.614061+00:00
whole_order,6,-0.26624784,0.04021022,0.33357061,8.858477644721356,2026-07-23T07:41:15.614061+00:00
whole_order,7,-0.69961815,0.02229773,0.72598835,1.8955323839217786,2026-07-23T07:41:15.614061+00:00
whole_order,8,-1.37746862,0.0108178,0.20151423,24.554935839878514,2026-07-23T07:41:15.614061+00:00
whole_order,9,-1.18641835,0.00927432,0.12357587,65.11684809771488,2026-07-23T07:41:15.614061+00:00
whole_order,10,-1.16177695,0.01068515,0.15249686,42.79088165301511,2026-07-23T07:41:15.614061+00:00
whole_order,11,-1.34694117,0.01233823,0.34440527,8.41983153100737,2026-07-23T07:41:15.614061+00:00
whole_order,12,-1.1731478,0.01049731,0.43295957,5.3315083147646485,2026-07-23T07:41:15.614061+00:00
whole_order,13,-1.38224727,0.01037429,0.22854374,19.10589494359663,2026-07-23T07:41:15.614061+00:00
whole_order,14,-1.31263906,0.0100625,0.11129466,80.07844323652098,2026-07-23T07:41:15.614061+00:00
whole_order,15,-1.08252868,0.01102148,0.21746046,21.092363070188966,2026-07-23T07:41:15.614061+00:00
whole_order,16,-1.10139761,0.00851586,0.12973141,59.16194054161677,2026-07-23T07:41:15.614061+00:00
whole_order,17,-1.32797045,0.00553888,0.11480033,75.70140210699519,2026-07-23T07:41:15.614061+00:00
whole_order,18,-1.0180666,0.00926548,0.2883831,12.011916568101874,2026-07-23T07:41:15.614061+00:00
whole_order,19,-1.38943002,0.00732913,0.10503487,90.2035347486246,2026-07-23T07:41:15.614061+00:00
whole_order,20,-1.28900202,0.00799666,0.1030471,93.60971949124551,2026-07-23T07:41:15.614061+00:00
whole_order,21,-1.30136501,0.00659905,0.07432332,179.61372197326395,2026-07-23T07:41:15.614061+00:00
whole_order,22,-1.17339194,0.008935,0.12228573,66.51751671546256,2026-07-23T07:41:15.614061+00:00
whole_order,23,0.82323917,0.00648745,0.08919654,125.02954205092965,2026-07-23T07:41:15.614061+00:00
whole_order,24,0.79963198,0.01035793,0.08405161,139.43190144287655,2026-07-23T07:41:15.614061+00:00
whole_order,25,0.89707814,0.00972338,1.29213338,0.598908830335812,2026-07-23T07:41:15.614061+00:00
whole_order,26,0.68420128,0.00478175,0.0630037,250.48021147178446,2026-07-23T07:41:15.614061+00:00
whole_order,27,0.75235047,0.00655712,0.23860565,17.551356839100787,2026-07-23T07:41:15.614061+00:00
whole_order,28,0.93882061,0.00804486,0.15917959,39.365643681223304,2026-07-23T07:41:15.614061+00:00
whole_order,29,0.82276169,0.00810811,0.11280512,78.18158058409715,2026-07-23T07:41:15.614061+00:00
whole_order,30,1.12562042,0.01014456,0.1770766,31.78737110595091,2026-07-23T07:41:15.614061+00:00
whole_order,31,1.12434411,0.00668723,0.09806534,103.50327584978152,2026-07-23T07:41:15.614061+00:00
whole_order,32,0.51625315,0.01047157,0.15168029,43.25902384940199,2026-07-23T07:41:15.614061+00:00
whole_order,33,0.92526193,0.00992259,0.1097998,82.27436711698275,2026-07-23T07:41:15.614061+00:00
whole_order,35,1.17842076,0.00944746,0.48864537,4.186490534502009,2026-07-23T07:41:15.614061+00:00
whole_order,36,1.11681324,0.00693302,1.07419724,0.8665903429661025,2026-07-23T07:41:15.614061+00:00
whole_order,38,1.62007078,0.0131764,0.29134149,11.757308279096193,2026-07-23T07:41:15.614061+00:00
whole_order,39,1.90046638,0.01571363,0.54580457,3.3540215329208083,2026-07-23T07:41:15.614061+00:00
whole_order,40,1.19063925,0.01314078,0.14752288,45.58782722288896,2026-07-23T07:41:15.614061+00:00
whole_order,45,1.94010806,0.01416519,0.22066894,20.45180755265537,2026-07-23T07:41:15.614061+00:00
whole_order,47,2.66914747,0.02636356,0.28918096,11.859489022297835,2026-07-23T07:41:15.614061+00:00
