gaia_dr3_id,name,method,n_epochs,bias_kms,rms_kms,median_abs_delta_kms,median_delta_days,P_orb_days,M_star_msun,M2_msun
1028887114002082432,J0824+5254,mask_ccf,4,9.872520438101951,13.690733456435549,10.046523164872486,367.8502209616454,1026.7,1.102,1.604
1028887114002082432,J0824+5254,template_fft,4,56.197751541860065,56.293834738198946,55.67339043386107,367.8502209616454,1026.7,1.102,1.604
1350295047363872512,J1739+4502,mask_ccf,2,264.49366849309826,264.560917369079,264.49366849309826,402.9665605767477,657.4,0.781,1.38
1694708646628402048,J1449+6919,mask_ccf,5,43.364837852044886,44.00440964253601,40.62091343240516,393.0256361146967,632.65,0.91,1.258
1694708646628402048,J1449+6919,template_fft,4,75.69743525037939,75.75894987524597,74.84231545917513,393.04341499356815,632.65,0.91,1.258
1871419337958702720,J2102+3703,mask_ccf,4,7.436289744327653,7.5705738569752805,7.459591789858905,373.31008934850615,481.04,1.03,1.473
2426116249713980416,J0036-0932,mask_ccf,1,-5.429400399395831,5.429400399395831,5.429400399395831,362.13130429280136,719.8,0.94,1.362
2426116249713980416,J0036-0932,template_fft,1,-22.037595017404342,22.037595017404342,22.037595017404342,362.13130429280136,719.8,0.94,1.362
4373465352415301632,Gaia BH1,mask_ccf,7,43.641523519483385,47.51515686575782,54.5175343707771,1003.0977200687703,185.6,0.93,9.62
465093354131112960,J0230+5950,mask_ccf,4,-5.249015896631722,11.838486861013898,11.626339817629425,631.0945842264846,1029.0,1.114,1.401
465093354131112960,J0230+5950,template_fft,4,-4.466826169116566,8.953343585880116,8.689551829905671,631.0945842264846,1029.0,1.114,1.401
6328149636482597888,J1432-1021,mask_ccf,1,-87.06255482140806,87.06255482140806,87.06255482140806,223.2929317008311,730.9,0.79,1.898
