gaia_dr3_id,name,method,n_epochs,bias_kms,rms_kms,median_abs_delta_kms,median_delta_days,P_orb_days,M_star_msun,M2_msun
1028887114002082432,J0824+5254,LAMOST_LRS,3,-21.259,22.44498602509404,24.049,2959.444500000216,1026.7,1.102,1.604
4373465352415301632,Gaia BH1,LAMOST_LRS,1,-0.0010000000000012221,0.0010000000000012221,0.0010000000000012221,0.7899000002071261,185.6,0.93,9.62
465093354131112960,J0230+5950,LAMOST_MRS,62,-9016.369354838707,9499.525958703447,9995.33,1392.4141999999993,1029.0,1.114,1.401
