gaia_dr3_id,name,method,n_epochs,bias_kms,rms_kms,median_abs_delta_kms,median_delta_days,P_orb_days,M_star_msun,M2_msun
1028887114002082432,J0824+5254,mask_ccf,4,5.476267403559699,12.658386778259368,11.406510983737299,367.8502209616454,1026.7,1.102,1.604
1028887114002082432,J0824+5254,template_fft,4,54.900164671115164,54.94351832790885,55.35574772309228,367.8502209616454,1026.7,1.102,1.604
1694708646628402048,J1449+6919,mask_ccf,4,37.99784863748443,38.007985483788524,38.293575894509885,393.04341499356815,632.65,0.91,1.258
1694708646628402048,J1449+6919,template_fft,4,75.6426485383719,75.71479249026176,75.67634854272674,393.04341499356815,632.65,0.91,1.258
2426116249713980416,J0036-0932,mask_ccf,1,-4.8044739526007625,4.8044739526007625,4.8044739526007625,362.13130429280136,719.8,0.94,1.362
2426116249713980416,J0036-0932,template_fft,1,-17.760847415496848,17.760847415496848,17.760847415496848,362.13130429280136,719.8,0.94,1.362
4373465352415301632,Gaia BH1,mask_ccf,2,62.3269808862078,62.344299732919495,62.3269808862078,1007.0483231447688,185.6,0.93,9.62
4373465352415301632,Gaia BH1,template_fft,2,-2.249756633306983,2.4762232442702072,2.249756633306983,1007.0483231447688,185.6,0.93,9.62
