gaia_dr3_id,name,method,n_epochs,bias_kms,rms_kms,median_abs_delta_kms,median_delta_days,P_orb_days,M_star_msun,M2_msun
1028887114002082432,J0824+5254,mask_ccf,4,5.872997076211556,12.60647991570004,11.171657328541357,367.8502209616454,1026.7,1.102,1.604
1028887114002082432,J0824+5254,template_fft,4,53.4725830657643,53.50687299568939,53.12616927960172,367.8502209616454,1026.7,1.102,1.604
1694708646628402048,J1449+6919,mask_ccf,4,38.008916574608826,38.018745363871496,38.30352782314472,393.04341499356815,632.65,0.91,1.258
1694708646628402048,J1449+6919,template_fft,4,73.81007236335462,74.05142209903536,76.80049906780897,393.04341499356815,632.65,0.91,1.258
2426116249713980416,J0036-0932,mask_ccf,1,-5.303235345690048,5.303235345690048,5.303235345690048,362.13130429280136,719.8,0.94,1.362
2426116249713980416,J0036-0932,template_fft,1,-6.33583453526882,6.33583453526882,6.33583453526882,362.13130429280136,719.8,0.94,1.362
4373465352415301632,Gaia BH1,mask_ccf,2,62.6855186680101,62.697179455156686,62.6855186680101,1007.0483231447688,185.6,0.93,9.62
4373465352415301632,Gaia BH1,template_fft,2,1.213648427001032,2.1934820471315963,1.8271346383686504,1007.0483231447688,185.6,0.93,9.62
